service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
15,0,0,0,0,0,0,1,20260503,20270502
17,0,0,0,0,0,0,0,20260504,20270503
20,1,1,1,1,1,0,0,20260505,20261210
21,0,0,0,0,1,0,0,20260508,20261204
22,0,0,0,0,0,1,0,20260502,20261205
23,1,1,1,1,1,0,1,20260503,20261210
28,0,0,0,0,0,1,0,20260502,20260905
29,0,0,0,0,0,0,0,20260511,20260831
30,0,1,0,0,0,0,0,20260505,20260901
31,0,0,1,0,0,0,0,20260506,20260902
32,0,0,0,1,0,0,0,20260507,20260903
33,0,0,0,0,1,0,0,20260508,20260904
34,0,0,0,0,0,0,0,20260629,20260824
35,0,1,0,0,0,0,0,20260630,20260825
36,0,0,1,0,0,0,0,20260701,20260826
37,0,0,0,1,0,0,0,20260702,20260827
38,0,0,0,0,1,0,0,20260703,20260828
39,0,0,0,0,0,0,1,20260503,20260830
40,0,0,0,0,0,0,0,20260504,20260803
44,1,1,1,1,1,0,0,20260505,20270430
80,0,0,0,0,0,1,0,20260502,20270501
103,1,0,0,0,0,0,0,20260511,20261019
104,0,0,1,0,0,0,0,20260506,20261028
105,0,0,0,1,0,0,0,20260507,20261029
106,0,0,0,0,1,0,0,20260508,20261030
107,0,1,0,0,0,0,0,20260505,20261027
108,0,0,0,0,0,1,0,20260502,20261031
109,0,0,0,0,0,0,1,20260503,20261026
110,0,0,0,0,0,1,0,20260502,20260502
111,0,0,0,0,0,0,1,20260503,20260503
116,0,0,0,0,0,0,0,20260525,20260525
130,1,0,0,0,0,0,0,20260511,20260518
131,0,1,0,0,0,0,0,20260505,20260519
132,0,0,1,0,0,0,0,20260506,20260520
133,0,0,0,1,0,0,0,20260507,20260521
134,0,0,0,0,1,0,0,20260508,20260522
135,0,0,0,0,0,1,0,20260502,20260523
136,1,0,0,0,0,0,0,20260504,20260504
137,0,0,0,0,0,0,1,20260503,20260517
138,0,1,0,0,0,0,0,20260505,20260505
139,0,1,0,0,0,0,0,20260512,20261027
140,1,0,0,0,0,0,0,20260525,20261019
141,0,0,0,0,0,0,1,20260504,20261101
142,1,1,1,1,0,0,0,20260505,20260514
143,0,0,0,0,1,0,0,20260508,20260515
144,0,0,0,0,0,1,0,20260502,20260516
145,1,0,0,0,0,0,1,20260503,20260510
213,0,0,0,0,0,0,0,20260612,20260612
216,1,1,1,1,1,0,0,20260505,20261211
217,0,0,0,0,0,1,0,20260502,20261212
218,0,0,0,0,0,0,1,20260503,20261206
223,0,0,0,0,0,1,0,20260509,20260509
224,0,0,0,0,1,0,0,20260508,20261211
225,0,0,1,1,0,0,0,20260506,20260507
227,0,0,0,0,0,1,0,20260502,20261212
228,0,0,0,1,0,0,0,20260507,20260507
231,0,0,0,0,0,0,0,20260530,20260530
239,0,0,0,0,0,0,0,20260531,20260531
240,1,1,1,1,1,0,0,20260505,20261211
241,0,0,0,0,0,0,0,20260601,20260601
244,0,0,0,0,0,0,0,20260516,20260516
245,0,0,0,0,0,1,0,20260509,20261212
251,0,0,0,0,0,1,0,20260509,20261212
280,0,0,0,0,0,0,0,20260523,20260523
281,0,0,0,0,0,0,0,20260524,20260524
282,0,0,0,0,0,0,0,20260808,20260808
283,0,0,0,0,0,0,0,20260809,20260809
284,0,0,0,0,0,0,0,20260810,20260810
285,1,1,1,1,1,0,0,20260505,20261211
286,1,1,1,1,1,0,0,20260505,20261211
287,0,0,0,0,0,0,1,20260510,20261206
288,0,0,0,0,0,0,0,20260803,20260803
289,0,0,0,0,0,0,0,20260517,20260517
290,0,0,0,0,0,1,0,20260523,20261212
291,0,0,0,0,0,1,0,20260516,20261212
292,0,0,0,0,0,1,0,20260509,20261212
293,0,0,0,0,0,0,1,20260510,20261206
294,1,1,1,1,1,0,0,20260505,20261211
295,0,0,0,0,0,1,0,20260516,20261212
296,1,1,1,1,1,1,0,20260504,20261212
297,1,1,1,1,1,1,0,20260505,20261212
298,1,1,1,1,1,0,0,20260504,20261211
299,1,1,1,1,0,1,0,20260504,20261212
300,0,0,0,0,0,0,0,20260615,20260615
301,1,1,1,1,1,1,0,20260504,20261212
302,0,0,0,0,0,0,0,20261026,20261026
303,1,1,1,1,1,0,0,20260504,20261211
304,1,1,1,1,0,1,0,20260504,20261212
305,1,1,1,1,0,0,0,20260504,20261210
306,1,1,1,1,1,0,0,20260505,20261211
307,0,0,0,0,0,1,0,20260523,20261212
308,1,1,1,1,1,0,0,20260507,20261211
309,0,1,1,0,0,0,0,20260505,20260506
310,1,1,1,0,0,0,0,20260511,20260513
311,1,1,1,1,1,1,0,20260502,20261212
312,1,1,1,1,1,1,0,20260502,20261212
313,1,1,1,1,1,1,0,20260502,20261212
314,1,1,1,1,0,0,0,20260505,20261210
315,1,1,1,1,1,1,0,20260502,20261212
316,1,1,1,1,1,1,0,20260502,20261212
317,0,1,1,1,0,0,0,20260505,20260507
318,1,1,1,1,1,1,0,20260502,20261212
319,1,1,1,1,1,1,0,20260502,20261212
320,1,1,1,1,1,1,0,20260502,20261212
321,1,1,1,1,1,1,0,20260502,20261212
322,1,1,1,1,1,1,0,20260505,20261212
323,0,0,0,0,0,0,1,20260510,20261206
324,1,0,0,0,0,0,0,20260511,20261207
325,0,1,1,1,1,0,0,20260505,20261211
326,0,0,0,0,0,0,0,20260801,20260801
327,0,0,0,0,1,1,0,20260502,20261212
328,1,1,1,1,0,1,0,20260502,20261212
329,1,1,1,1,1,1,0,20260502,20261212
330,1,1,1,1,0,1,0,20260502,20261212
331,1,1,1,1,1,1,0,20260505,20261212
332,1,1,1,1,1,1,0,20260507,20261212
333,1,0,0,0,0,0,0,20260504,20261207
342,0,0,0,0,1,0,0,20260522,20260814
343,1,1,1,1,0,0,0,20260518,20260813
344,0,0,0,0,0,1,0,20260523,20260815
345,0,0,0,0,0,0,1,20260517,20260809
