route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
10000 GREEN g a,20,5242_1,Brides Glen,195.MF-BH.93-GRN-y11,0,5242_7778148_Txc104995,5242_1
10000 GREEN g a,20,5242_10,Brides Glen,79.SuBH.93-GRN-y11-1,0,5242_7778148_Txc105600,5242_1
10000 GREEN g a,21,5242_100,Brides Glen,144.gf.93-GRN-y11-16,0,5242_7778148_Txc104811,5242_1
10000 GREEN g a,20,5242_1000,Sandyford,354.MF-BH.93-GRN-y11,0,5242_7778148_Txc105380,5242_4
10000 GREEN g a,22,5242_1004,Brides Glen,240.Sat.93-GRN-y11-1,0,5242_7778148_Txc105155,5242_5
10000 GREEN g a,21,5242_1005,Brides Glen,240.gf.93-GRN-y11-16,0,5242_7778148_Txc105156,5242_5
10000 GREEN g a,20,5242_1009,Brides Glen,353.MF-BH.93-GRN-y11,0,5242_7778148_Txc105379,5242_5
10000 GREEN g a,23,5242_1010,Brides Glen,142.SuBH.93-GRN-y11-,0,5242_7778148_Txc104802,5242_1
10000 GREEN g a,20,5242_1015,Sandyford,356.MF-BH.93-GRN-y11,0,5242_7778148_Txc105382,5242_4
10000 GREEN g a,22,5242_1016,Sandyford,243.Sat.93-GRN-y11-1,0,5242_7778148_Txc105164,5242_4
10000 GREEN g a,21,5242_1017,Sandyford,243.gf.93-GRN-y11-16,0,5242_7778148_Txc105165,5242_4
10000 GREEN g a,22,5242_1021,Brides Glen,242.Sat.93-GRN-y11-1,0,5242_7778148_Txc105161,5242_5
10000 GREEN g a,21,5242_1022,Brides Glen,242.gf.93-GRN-y11-16,0,5242_7778148_Txc105162,5242_5
10000 GREEN g a,20,5242_1023,Brides Glen,355.MF-BH.93-GRN-y11,0,5242_7778148_Txc105381,5242_5
10000 GREEN g a,23,5242_1027,Brides Glen,143.SuBH.93-GRN-y11-,0,5242_7778148_Txc104806,5242_1
10000 GREEN g a,20,5242_1032,Sandyford,358.MF-BH.93-GRN-y11,0,5242_7778148_Txc105384,5242_4
10000 GREEN g a,22,5242_1033,Sandyford,245.Sat.93-GRN-y11-1,0,5242_7778148_Txc105170,5242_4
10000 GREEN g a,21,5242_1034,Sandyford,245.gf.93-GRN-y11-16,0,5242_7778148_Txc105171,5242_4
10000 GREEN g a,20,5242_1037,Brides Glen,357.MF-BH.93-GRN-y11,0,5242_7778148_Txc105383,5242_5
10000 GREEN g a,22,5242_1038,Brides Glen,244.Sat.93-GRN-y11-1,0,5242_7778148_Txc105167,5242_5
10000 GREEN g a,21,5242_1039,Brides Glen,244.gf.93-GRN-y11-16,0,5242_7778148_Txc105168,5242_5
10000 GREEN g a,20,5242_104,Sandyford,220.MF-BH.93-GRN-y11,0,5242_7778148_Txc105086,5242_4
