WKT,Site_ID,Location,Lat,Long
POINT (-6.257607 53.348754),1,Abbey St @ Marlborough St (Luas),53.348754,-6.257607
POINT (-6.246679 53.354711),2,Amiens St @ Seville Pl,53.354711,-6.246679
POINT (-6.250073 53.351374),3,Amiens St @ Talbot St,53.351374,-6.250073
POINT (-6.240513 53.361145),4,Annesley Pl @ Poplar Row,53.361145,-6.240513
POINT (-6.292406 53.355797),5,NCR @ Aughrim St,53.355797,-6.292406
POINT (-6.245199 53.334055),6,Baggot St Bridge,53.334055,-6.245199
POINT (-6.249116 53.336815),7,Baggot St @ Fitzwilliam St,53.336815,-6.249116
POINT (-6.243319 53.333171),8,Baggot St @ Waterloo Rd,53.333171,-6.243319
POINT (-6.242793 53.361367),9,Ballybough Rd @ Clonliffe Rd (Luke Kelly Br),53.361367,-6.242793
POINT (-6.2933413 53.3897385),10,Ballygall Rd West @ Clune Rd,53.3897385,-6.2933413
POINT (-6.264819292 53.38912341),11,Ballymun Rd @ Glasnevin Av,53.38912341,-6.264819292
POINT (-6.266859 53.378896),12,Ballymun Rd @ Griffith Av,53.378896,-6.266859
POINT (-6.265175 53.385948),13,Ballymun Rd @ St Pappins Rd,53.385948,-6.265175
POINT (-6.219956537 53.33773396),14,Bath St @ Beach Rd / Dock Rd,53.33773396,-6.219956537
POINT (-6.233328 53.385381),15,Beaumont Rd @ Shantalla Rd,53.385381,-6.233328
POINT (-6.254945771 53.34823832),17,Beresford Pl @ Eden Quay,53.34823832,-6.254945771
POINT (-6.269639 53.36054415),18,NCR @ Berkeley Rd,53.36054415,-6.269639
POINT (-6.282360635 53.34738731),19,Blackhall Pl @ Benburb St (LUAS),53.34738731,-6.282360635
POINT (-6.2816768 53.3499244),20,Blackhall Pl @ North King St,53.3499244,-6.2816768
POINT (-6.270081 53.351066),21,Capel St @ Bolton St,53.351066,-6.270081
POINT (-6.2691474 53.3378547),22,Kevin St @ Bride St,53.3378547,-6.2691474
POINT (-6.286128 53.36116),23,Cabra Rd @ Annamoe Tce,53.36116,-6.286128
POINT (-6.2650364 53.33363351),24,Camden St @ Charlotte St,53.33363351,-6.2650364
POINT (-6.264879 53.332574),25,Camden St @ Harcourt Rd (Kellys Corner),53.332574,-6.264879
POINT (-6.267771 53.345694),26,Capel St Bridge,53.345694,-6.267771
